直播间名称,日期,直播时长(小时),带货商品数,成交金额,时均GMV,有效GMV,时均有效GMV,成交订单数,成交件数,成交人数,直播间退款金额,直播间退款订单数,直播间订单退款人数,预估佣金收入,成交件单价,预售订单数,预售创建金额,退款率,成交金额(订单),退款金额(订单),有效GMV(订单),时均有效GMV(订单),退款率(订单),发货前退款金额(订单）,有效投产净值(订单),直播间观看人数,发货后退款金额(订单）,发货前退款率(订单),发货后退款率(订单),直播间观看人次,商品连带率(订单),最高在线人数,平均在线人数,人均看播时长,评论次数,点赞次数,分享次数,新加团人数,新增粉丝数,取关粉丝数,看播粉丝占比,成交粉丝占比,商品曝光人数,商品点击人数,商品点击率(人数),观看成交转化率(人数),直播间商品曝光次数,直播间商品点击次数,商品点击率(次数),点击成交转化率(次数),CTR,看播成交转化率(次数),看播成交转化率(人数),直播间观看-互动率(人数),投产净值,有效投产净值,投放ROI,整体ROI,广告点击率,在投计划数,投放消耗,标准推广消耗,标准推广ROI,全域推广消耗,全域推广ROI,标准推广成交金额,全域推广成交金额,标准推广成交单数,全域推广成交单数,广告观看次数,GPM,广告GPM,平均千次展示费用,广告点击次数,广告点击单价,广告转化成本,整体ROI（订单）,广告平均成单金额,广告引导超1分钟观看人数,标准推广退款金额,标准推广有效GMV,标准推广有效投产净值,标准推广有效ROI,整体智能成交优惠券,标准智能成交优惠券,全域智能成交优惠券
奥利奥官方旗舰店,2025/2/5,8,3,30788.81,3848.6,27477.51,3434.69,818,818,798,3311.3,92,89,0,37.63,0,0,0.11,30659.81,3307.3,27352.51,3419.06,0.11,2811.51,358.92,33547,495.79,0.09,0.02,46396,1,565,89,53,0,6269,23,111,252,50,0.1,0.07,29618,6281,0.21,0.13,96800,12000,0.12,0.07,0.26,0.02,0.02,0.02,3795.22,483.92,1.79,1.81,0.06,0,26993.59,26993.59,1.79,0,0,30011.33,0,803,0,0,663.61,744.7,0,0,0,33.62,1.14,37.37,0,0,30011.33,483.92,1.11,0,0,0
奥利奥官方旗舰店,2025/2/6,8,3,30547.4,3818.43,26662.94,3332.87,826,848,808,3884.46,84,82,0,36.02,0,0,0.13,30547.4,3884.46,26662.94,3332.87,0.13,3421.65,-1512.52,28286,462.81,0.11,0.02,37754,1,174,72,50,0,11909,18,154,249,42,0.1,0.08,25195,5546,0.22,0.15,106500,10600,0.1,0.08,0.2,0.02,0.03,0.02,2371.94,-1512.52,1.76,1.79,0.05,0,28175.46,28175.46,1.76,0,0,29695.1,0,810,0,0,809.12,938.41,0,0,0,34.78,1.08,36.66,0,0,29695.1,-1512.52,1.05,0,0,0
奥利奥官方旗舰店,2025/2/7,8,3,20852.76,2606.6,19045.12,2380.64,620,620,589,1807.64,59,59,0,33.63,0,0,0.09,20852.76,1807.64,19045.12,2380.64,0.09,1351.53,-835.27,13383,456.11,0.06,0.02,18488,1,95,40,56,825,8929,17,112,167,40,0.15,0.1,12110,3403,0.28,0.17,53700,6565,0.12,0.09,0.18,0.03,0.04,0.04,972.37,-835.27,1.79,1.85,0.04,0,19880.39,19880.39,1.79,0,0,19705.98,0,597,0,0,1127.91,1499.35,0,0,0,33.3,1.05,33.01,0,0,19705.98,-835.27,0.99,0,0,0
奥利奥官方旗舰店,2025/2/8,8,3,22749.45,2843.68,17048.89,2131.11,552,594,543,5700.56,86,86,0,38.29,0,0,0.25,22749.45,5700.56,17048.89,2131.11,0.25,5267.54,-2741.72,15133,433.02,0.23,0.02,20145,1,120,38,51,648,12822,19,121,202,38,0.13,0.07,14182,4542,0.32,0.12,49000,7875,0.16,0.07,0.13,0.03,0.04,0.04,2958.84,-2741.72,1.73,1.77,0.05,0,19790.61,19790.61,1.73,0,0,21929.38,0,533,0,0,1129.29,1375.92,0,0,0,37.13,1.15,41.14,0,0,21929.38,-2741.72,1.11,0,0,0
奥利奥官方旗舰店,2025/2/9,7.02,6,9919.4,1413.02,8593.05,1224.08,239,248,238,1326.35,31,31,0,39.84,0,0,0.13,9919.4,1326.35,8593.05,1224.08,0.13,993.01,340.64,8316,333.34,0.1,0.03,11230,1,71,29,58,776,10550,19,95,115,28,0.22,0.09,7840,2239,0.28,0.11,34900,3796,0.11,0.06,0.13,0.02,0.03,0.06,1666.99,340.64,1.71,1.78,0.06,0,8252.41,8252.41,1.71,0,0,9353.4,0,229,0,0,1768.5,2454.6,0,0,0,36.24,1.2,40.46,0,0,9353.4,340.64,1.13,0,0,0
奥利奥官方旗舰店,2025/2/10,7.74,6,8958.89,1157.48,7714.62,996.72,254,254,242,1244.27,35,34,0,42.63,0,0,0.14,8958.89,1244.27,7714.62,996.72,0.14,985.67,-423.2,8214,258.6,0.11,0.03,11455,1,73,23,55,918,13228,31,109,128,31,0.27,0.09,7679,1833,0.21,0.11,28671,3280,0.1,0.07,0.17,0.02,0.02,0.09,821.07,-423.2,1.48,1.97,0.06,0,8137.82,8137.82,1.48,0,0,7985.6,0,236,0,0,1392.93,2010.81,0,0,0,42.06,1.1,35.14,0,0,7985.6,-423.2,0.98,0,0,0
奥利奥官方旗舰店,2025/2/11,8,3,8372.01,1046.5,7712.57,964.07,238,238,233,659.44,20,20,0,35.17,0,0,0.08,8372.01,659.44,7712.57,964.07,0.08,586.64,-789.21,7301,72.8,0.07,0.01,10626,1,66,27,68,900,9877,30,97,119,34,0.23,0.09,6807,1902,0.28,0.12,30300,3384,0.11,0.07,0.16,0.02,0.03,0.07,-129.77,-789.21,1.63,1.67,0.05,0,8501.78,8501.78,1.63,0,0,7976.71,0,231,0,0,787.88,1223.61,0,0,0,36.8,0.98,34.53,0,0,7976.71,-789.21,0.94,0,0,0
奥利奥官方旗舰店,2025/2/12,8,3,10864.1,1358.01,9716.23,1214.53,326,326,317,1147.87,37,36,0,33.32,0,0,0.11,11272.42,1183.81,10088.61,1261.08,0.11,943.43,-668.36,7552,240.38,0.08,0.02,11319,1,102,31,84,1131,15475,25,117,148,21,0.21,0.08,6943,1881,0.27,0.17,28800,3610,0.13,0.09,0.18,0.03,0.04,0.07,107.13,-1040.74,1.8,1.82,0.04,0,10756.97,10756.97,1.8,0,0,10684.4,0,323,0,0,959.81,1577.5,0,0,0,33.3,1.05,33.08,0,0,10684.4,-1040.74,0.99,0,0,0
奥利奥官方旗舰店,2025/2/13,7.65,11,30862.95,4034.37,27966.54,3655.76,989,989,980,2896.41,96,96,0,20.82,0,0,0.09,30862.95,2896.41,27966.54,3655.76,0.09,2464.63,-2501.24,36476,431.78,0.08,0.01,47290,1,834,75,38,1322,13717,40,266,409,39,0.31,0.04,32418,8301,0.34,0.08,194307,20871,0.17,0.03,0.2,0.01,0.02,0.02,395.12,-2501.29,1.07,1.1,0.04,0,30467.83,30467.83,1.07,0,0,29814.33,0,964,0,0,1322.73,1457.77,0,0,0,21.49,1.01,20.63,0,0,29814.33,-2501.29,0.98,0,0,0
奥利奥官方旗舰店,2025/2/14,8,4,24399.04,3049.88,22404.22,2800.53,783,785,771,1994.82,72,71,0,31.08,0,0,0.08,24399.04,1994.82,22404.22,2800.53,0.08,1501.18,-3001.06,28071,493.64,0.06,0.02,37403,1,1002,87,53,1004,25798,27,146,259,33,0.08,0.06,25011,6246,0.25,0.12,103800,15200,0.15,0.05,0.26,0.02,0.03,0.02,-1006.24,-3001.06,1.55,1.58,0.05,0,25405.28,25405.28,1.55,0,0,23840.23,0,771,0,0,652.33,738.61,0,0,0,32.95,0.96,30.92,0,0,23840.23,-3001.06,0.94,0,0,0
