直播间名称,日期,直播时长(小时),带货商品数,成交金额,时均GMV,有效GMV,时均有效GMV,成交订单数,成交件数,成交人数,直播间退款金额,直播间退款订单数,直播间订单退款人数,预估佣金收入,成交件单价,预售订单数,预售创建金额,退款率,成交金额(订单),退款金额(订单),有效GMV(订单),时均有效GMV(订单),退款率(订单),发货前退款金额(订单）,有效投产净值(订单),直播间观看人数,发货后退款金额(订单）,发货前退款率(订单),发货后退款率(订单),直播间观看人次,商品连带率(订单),最高在线人数,平均在线人数,人均看播时长,评论次数,点赞次数,分享次数,新加团人数,新增粉丝数,取关粉丝数,看播粉丝占比,成交粉丝占比,商品曝光人数,商品点击人数,商品点击率(人数),观看成交转化率(人数),直播间商品曝光次数,直播间商品点击次数,商品点击率(次数),点击成交转化率(次数),CTR,看播成交转化率(次数),看播成交转化率(人数),直播间观看-互动率(人数),投产净值,有效投产净值,投放ROI,整体ROI,广告点击率,在投计划数,投放消耗,标准推广消耗,标准推广ROI,全域推广消耗,全域推广ROI,标准推广成交金额,全域推广成交金额,标准推广成交单数,全域推广成交单数,广告观看次数,GPM,广告GPM,平均千次展示费用,广告点击次数,广告点击单价,广告转化成本,整体ROI（订单）,广告平均成单金额,广告引导超1分钟观看人数,标准推广退款金额,标准推广有效GMV,标准推广有效投产净值,标准推广有效ROI,整体智能成交优惠券,标准智能成交优惠券,全域智能成交优惠券
奥利奥官方旗舰店,2025/02/05,8,3,30788.81,3848.60,27477.51,3434.69,818,818,798,3311.30,92,89,0,37.63,0,0,10.75%,30659.81,3307.30,27352.51,3419.06,10.79%,2811.51,358.92,33547,495.79,9.17%,1.62%,46396,1,565,89,53,0,6269,23,111,252,50,9.54%,7.27%,29618,6281,21.21%,12.70%,96800,12000,12.40%,6.82%,25.62%,1.76%,2.38%,1.62%,3795.22,483.92,1.79,1.81,5.79%,0,26993.59,26993.59,1.79,0,0,30011.33,0,803,0,0,663.61,744.70,0,0,0,33.62,1.14,37.37,0,0,30011.33,483.92,1.11,0,0,0
奥利奥官方旗舰店,2025/02/06,8,3,30547.40,3818.43,26662.94,3332.87,826,848,808,3884.46,84,82,0,36.02,0,0,12.72%,30547.40,3884.46,26662.94,3332.87,12.72%,3421.65,-1512.52,28286,462.81,11.20%,1.52%,37754,1,174,72,50,0,11909,18,154,249,42,9.52%,7.92%,25195,5546,22.01%,14.57%,106500,10600,9.95%,7.79%,20.29%,2.19%,2.86%,2.37%,2371.94,-1512.52,1.76,1.79,4.63%,0,28175.46,28175.46,1.76,0,0,29695.10,0,810,0,0,809.12,938.41,0,0,0,34.78,1.08,36.66,0,0,29695.10,-1512.52,1.05,0,0,0
奥利奥官方旗舰店,2025/02/07,8,3,20852.76,2606.60,19045.12,2380.64,620,620,589,1807.64,59,59,0,33.63,0,0,8.67%,20852.76,1807.64,19045.12,2380.64,8.67%,1351.53,-835.27,13383,456.11,6.48%,2.19%,18488,1,95,40,56,825,8929,17,112,167,40,15.06%,9.68%,12110,3403,28.10%,17.31%,53700,6565,12.23%,9.44%,18.30%,3.35%,4.40%,3.83%,972.37,-835.27,1.79,1.85,3.81%,0,19880.39,19880.39,1.79,0,0,19705.98,0,597,0,0,1127.91,1499.35,0,0,0,33.30,1.05,33.01,0,0,19705.98,-835.27,0.99,0,0,0
奥利奥官方旗舰店,2025/02/08,8,3,22749.45,2843.68,17048.89,2131.11,552,594,543,5700.56,86,86,0,38.29,0,0,25.06%,22749.45,5700.56,17048.89,2131.11,25.06%,5267.54,-2741.72,15133,433.02,23.15%,1.90%,20145,1,120,38,51,648,12822,19,121,202,38,13%,7.18%,14182,4542,32.03%,11.96%,49000,7875,16.07%,7.01%,12.53%,2.74%,3.59%,3.57%,2958.84,-2741.72,1.73,1.77,4.76%,0,19790.61,19790.61,1.73,0,0,21929.38,0,533,0,0,1129.29,1375.92,0,0,0,37.13,1.15,41.14,0,0,21929.38,-2741.72,1.11,0,0,0
奥利奥官方旗舰店,2025/02/09,7.02,6,9919.40,1413.02,8593.05,1224.08,239,248,238,1326.35,31,31,0,39.84,0,0,13.37%,9919.40,1326.35,8593.05,1224.08,13.37%,993.01,340.64,8316,333.34,10.01%,3.36%,11230,1,71,29,58,776,10550,19,95,115,28,21.80%,9.24%,7840,2239,28.39%,10.62%,34900,3796,10.98%,6.27%,12.85%,2.13%,2.84%,6.19%,1666.99,340.64,1.71,1.78,5.74%,0,8252.41,8252.41,1.71,0,0,9353.40,0,229,0,0,1768.50,2454.60,0,0,0,36.24,1.20,40.46,0,0,9353.40,340.64,1.13,0,0,0
奥利奥官方旗舰店,2025/02/10,7.74,6,8958.89,1157.48,7714.62,996.72,254,254,242,1244.27,35,34,0,42.63,0,0,13.89%,8958.89,1244.27,7714.62,996.72,13.89%,985.67,-423.20,8214,258.60,11%,2.89%,11455,1,73,23,55,918,13228,31,109,128,31,26.73%,8.65%,7679,1833,20.91%,11.24%,28671,3280,10.49%,6.68%,16.51%,1.75%,2.29%,9.27%,821.07,-423.20,1.48,1.97,6.31%,0,8137.82,8137.82,1.48,0,0,7985.60,0,236,0,0,1392.93,2010.81,0,0,0,42.06,1.10,35.14,0,0,7985.60,-423.20,0.98,0,0,0
奥利奥官方旗舰店,2025/02/11,8,3,8372.01,1046.50,7712.57,964.07,238,238,233,659.44,20,20,0,35.17,0,0,7.88%,8372.01,659.44,7712.57,964.07,7.88%,586.64,-789.21,7301,72.80,7.01%,0.87%,10626,1,66,27,68,900,9877,30,97,119,34,22.93%,8.58%,6807,1902,27.94%,12.25%,30300,3384,11.17%,7.03%,16.48%,2.24%,3.19%,7.15%,-129.77,-789.21,1.63,1.67,4.73%,0,8501.78,8501.78,1.63,0,0,7976.71,0,231,0,0,787.88,1223.61,0,0,0,36.80,0.98,34.53,0,0,7976.71,-789.21,0.94,0,0,0
奥利奥官方旗舰店,2025/02/12,8,3,10864.10,1358.01,9716.23,1214.53,326,326,317,1147.87,37,36,0,33.32,0,0,10.57%,11272.42,1183.81,10088.61,1261.08,10.50%,943.43,-668.36,7552,240.38,8.37%,2.13%,11319,1,102,31,84,1131,15475,25,117,148,21,21.07%,7.57%,6943,1881,27.09%,16.85%,28800,3610,12.53%,9.03%,18.45%,2.88%,4.20%,7.07%,107.13,-1040.74,1.80,1.82,4.48%,0,10756.97,10756.97,1.80,0,0,10684.40,0,323,0,0,959.81,1577.50,0,0,0,33.30,1.05,33.08,0,0,10684.40,-1040.74,0.99,0,0,0
奥利奥官方旗舰店,2025/02/13,7.65,11,30862.95,4034.37,27966.54,3655.76,989,989,980,2896.41,96,96,0,20.82,0,0,9.38%,30862.95,2896.41,27966.54,3655.76,9.38%,2464.63,-2501.24,36476,431.78,7.99%,1.40%,47290,1,834,75,38,1322,13717,40,266,409,39,30.70%,3.80%,32418,8301,33.91%,7.85%,194307,20871,16.97%,3.16%,20.40%,1.41%,1.80%,1.87%,395.12,-2501.29,1.07,1.10,3.69%,0,30467.83,30467.83,1.07,0,0,29814.33,0,964,0,0,1322.73,1457.77,0,0,0,21.49,1.01,20.63,0,0,29814.33,-2501.29,0.98,0,0,0
奥利奥官方旗舰店,2025/02/14,8,4,24399.04,3049.88,22404.22,2800.53,783,785,771,1994.82,72,71,0,31.08,0,0,8.18%,24399.04,1994.82,22404.22,2800.53,8.18%,1501.18,-3001.06,28071,493.64,6.15%,2.02%,37403,1,1002,87,53,1004,25798,27,146,259,33,8.30%,6.23%,25011,6246,24.97%,12.34%,103800,15200,14.64%,5.15%,25.50%,2.09%,2.75%,2.46%,-1006.24,-3001.06,1.55,1.58,5.39%,0,25405.28,25405.28,1.55,0,0,23840.23,0,771,0,0,652.33,738.61,0,0,0,32.95,0.96,30.92,0,0,23840.23,-3001.06,0.94,0,0,0
奥利奥官方旗舰店,2025/02/15,8,4,35564.28,4445.54,31653.30,3956.66,1119,1121,1101,3910.98,126,125,0,31.72,0,0,11%,35514.38,3910.98,31603.40,3950.43,11.01%,3236.37,-155.13,42673,674.61,9.11%,1.90%,56947,1,513,102,50,1052,15221,25,197,380,36,6.40%,6.54%,37981,8485,22.34%,12.98%,179000,20400,11.40%,5.49%,26.07%,1.96%,2.58%,1.94%,3805.75,-105.23,1.76,1.80,5.53%,0,31758.53,31758.53,1.76,0,0,34424.99,0,1097,0,0,624.52,667.58,0,0,0,28.95,1.12,31.38,0,0,34424.99,-105.23,1.08,0,0,0
奥利奥官方旗舰店,2025/02/16,8,3,50955.13,6369.39,46208.36,5776.05,1544,1549,1521,4746.77,143,139,0,32.89,0,0,9.32%,50994.07,4746.77,46247.30,5780.91,9.31%,3875.91,2433.25,60411,870.86,7.60%,1.71%,76791,1,891,172,43,238,5008,8,0,233,31,4.36%,4.60%,53460,11506,21.52%,13.22%,232800,26800,11.51%,5.76%,23.24%,2.01%,2.52%,0.74%,7141.08,2394.31,1.75,1.79,5.09%,0,43814.05,43814.05,1.75,0,0,49267.84,0,1509,0,0,663.56,668.25,0,0,0,29.04,1.16,32.65,0,0,49267.84,2394.31,1.12,0,0,0
奥利奥官方旗舰店,2025/02/17,7.74,8,11897.21,1537.11,8930.89,1153.86,280,313,268,2966.32,34,33,0,38.01,0,0,24.93%,11847.31,2966.32,8880.99,1147.41,25.04%,2841.63,180.56,13090,124.69,23.99%,1.05%,17622,1,91,41,52,827,5018,16,52,108,21,13.16%,7.24%,11996,2625,19.09%,8.56%,45549,5961,11.28%,4.06%,18.10%,1.23%,1.59%,3.55%,3196.78,230.46,1.36,1.50,5.67%,0,8700.43,8700.43,1.36,0,0,10828.94,0,259,0,0,1024.20,1168.07,0,0,0,47.62,1.36,38.67,0,0,10828.94,230.46,1.24,0,0,0
奥利奥官方旗舰店,2025/02/18,8,4,24789.20,3098.65,21722.69,2715.34,682,684,663,3066.51,92,91,0,36.24,0,0,12.37%,24739.30,3064.51,21674.79,2709.35,12.39%,2507.80,2096.70,20570,556.71,10.14%,2.25%,27702,1,163,58,59,1815,15245,51,6,204,38,10.20%,6.79%,18705,6426,34.35%,10.32%,98500,14600,14.82%,4.67%,13.33%,2.46%,3.22%,6.19%,5211.11,2144.60,1.73,1.81,4.39%,0,19578.09,19578.09,1.73,0,0,23350.71,0,653,0,0,894.85,1030.89,0,0,0,29.98,1.26,35.76,0,0,23350.71,2144.60,1.19,0,0,0
奥利奥官方旗舰店,2025/02/19,8,5,19407.16,2425.90,14766.36,1845.80,434,455,419,4640.80,52,51,0,42.65,0,0,23.91%,19357.26,4640.80,14716.46,1839.56,23.97%,4461.18,2217.65,11006,179.62,23.05%,0.93%,15419,1,128,45,88,1897,20460,43,3,151,29,17.45%,7.88%,10577,3946,37.31%,10.62%,63400,8854,13.97%,4.90%,9.65%,2.81%,3.81%,10.59%,6908.35,2267.55,0,0,0%,0,12498.81,12498.81,0,0,0,0,0,407,0,0,0,0,0,0,0,30.71,1.55,0,0,0,0,2267.55,0,0,0,0
奥利奥官方旗舰店,2025/02/20,8,4,18381.56,2297.70,16030.50,2003.81,490,492,479,2351.06,66,65,0,37.36,0,0,12.79%,18381.56,2351.06,16030.50,2003.81,12.79%,2218.32,2636.95,13023,132.74,12.07%,0.72%,18045,1,155,50,78,1935,18654,53,3,203,29,14.34%,6.68%,12617,4584,36.33%,10.45%,57600,10600,18.40%,4.62%,8.06%,2.72%,3.68%,9.78%,4988.01,2636.95,1.85,1.94,3.50%,0,13393.55,13393.55,1.85,0,0,17197.63,0,466,0,0,1018.65,1478.22,0,0,0,28.74,1.37,36.90,0,0,17197.63,2636.95,1.28,0,0,0
